,Game Title,Weekly Sales,All Time Sales,Weeks Out
0,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
1,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
2,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
4,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
5,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
6,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
7,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
8,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
9,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
10,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
11,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
12,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
13,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
14,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
15,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
16,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
17,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
18,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
19,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
20,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
21,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
22,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
23,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
24,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
25,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
26,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
27,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
28,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
29,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
30,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
31,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
32,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
33,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
34,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
35,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
36,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
37,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
38,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
39,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
40,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
41,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
42,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
43,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
44,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
45,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
46,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
47,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
48,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
49,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
50,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
51,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
52,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
53,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
54,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
55,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
56,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
57,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
58,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
59,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
60,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
61,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
62,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
63,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
64,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
65,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
66,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
67,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
68,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
69,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
70,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
71,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
72,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
73,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
74,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
75,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
76,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
77,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
78,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
79,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
80,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
81,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
82,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
83,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
84,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
85,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
86,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
87,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
88,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
89,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
90,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
91,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
92,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
93,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
94,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
95,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
96,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
97,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
98,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
99,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
100,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
101,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
102,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
103,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
104,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
105,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
106,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
107,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
108,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
109,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
110,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
111,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
112,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
113,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
114,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
115,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
116,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
117,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
118,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
119,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
120,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
121,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
122,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
123,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
124,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
125,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
126,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
127,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
128,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
129,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
130,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
131,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
132,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
133,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
134,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
135,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
136,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
137,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
138,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
139,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
140,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
141,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
142,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
143,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
144,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
145,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
146,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
147,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
148,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
149,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
150,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
151,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
152,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
153,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
154,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
155,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
156,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
157,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
158,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
159,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
160,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
161,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
162,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
163,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
164,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
165,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
166,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
167,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
168,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
169,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
170,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
171,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
172,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
173,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
174,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
175,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
176,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
177,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
178,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
179,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
180,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
181,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
182,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
183,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
184,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
185,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
186,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
187,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
188,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
189,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
190,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
191,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
192,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
193,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
194,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
195,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
196,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
197,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
198,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
199,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
200,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
201,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
202,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
203,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
204,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
205,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
206,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
207,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
208,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
209,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
210,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
211,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
212,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
213,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
214,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
215,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
216,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
217,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
218,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
219,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
220,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
221,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
222,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
223,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
224,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
225,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
226,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
227,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
228,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
229,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
230,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
231,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
232,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
233,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
234,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
235,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
236,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
237,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
238,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
239,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
240,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
241,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
242,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
243,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
244,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
245,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
246,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
247,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
248,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
249,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
250,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
251,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
252,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
253,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
254,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
255,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
256,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
257,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
258,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
259,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
260,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
261,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
262,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
263,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
264,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
265,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
266,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
267,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
268,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
269,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
270,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
271,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
272,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
273,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
274,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
275,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
276,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
277,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
278,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
279,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
280,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
281,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
282,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
283,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
284,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
285,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
286,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
287,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
288,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
289,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
290,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
291,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
292,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
293,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
294,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
295,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
296,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
297,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
298,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
299,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
300,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
301,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
302,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
303,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
304,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
305,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
306,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
307,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
308,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
309,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
310,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
311,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
312,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
313,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
314,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
315,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
316,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
317,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
318,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
319,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
320,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
321,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
322,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
323,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
