,Game Title,Weekly Sales,All Time Sales,Weeks Out
3746,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3747,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3748,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3749,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3750,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3751,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3752,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3753,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3754,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3755,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3756,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3757,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3758,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3759,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3760,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3761,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3762,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3763,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3764,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3765,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3766,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3767,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3768,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3769,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3770,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3771,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3772,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3773,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
3774,"Just Cause 4 (PS4)Square Enix, Action-Adventure","84,669","558,661",4
3775,"NBA 2K19 (XOne)Take-Two Interactive, Sports","84,187","1,737,777",16
3776,"Madden NFL 19 (PS4)Electronic Arts, Sports","83,796","2,214,368",21
3777,"Assassin's Creed Odyssey (XOne)Ubisoft, Action-Adventure","78,669","1,388,057",13
3778,"Grand Theft Auto V (XOne)Take-Two Interactive, Action","73,714","8,720,682",215
3779,"Fortnite (XOne)Gearbox Software, Action","66,653","769,347",76
3780,"Super Smash Bros. (2018) (NS)Nintendo, Fighting","1,103,894","8,951,009",4
3781,"Red Dead Redemption 2 (PS4)Take-Two Interactive, Action-Adventure","705,407","13,940,203",10
3782,"Call of Duty: Black Ops IIII (PS4)Activision, Shooter","511,667","9,317,241",12
3783,"Mario Kart 8 Deluxe (NS)Nintendo, Racing","438,400","13,046,117",88
3784,"Spider-Man (PS4) (PS4)Sony Interactive Entertainment, Action-Adventure","426,691","8,757,859",17
3785,"Super Mario Party (NS)Nintendo, Party","422,274","4,972,711",13
3786,"FIFA 19 (PS4)Electronic Arts, Sports","373,147","9,147,505",14
3787,"Pokemon: Let's Go, Pikachu! (NS)Nintendo, Role-Playing","337,851","4,566,580",7
3788,"Red Dead Redemption 2 (XOne)Take-Two Interactive, Action-Adventure","281,247","5,771,147",10
3789,"Call of Duty: Black Ops IIII (XOne)Activision, Shooter","250,631","4,850,704",12
3790,"Battlefield V (PS4)Electronic Arts, Shooter","218,421","2,224,270",6
3791,"Super Mario Odyssey (NS)Nintendo, Platform","187,233","11,714,226",62
3792,"Pokemon: Let's Go, Eevee! (NS)Nintendo, Role-Playing","182,083","2,728,386",7
3793,"Assassin's Creed Odyssey (PS4)Ubisoft, Action-Adventure","175,143","3,176,082",13
3794,"Spyro Reignited Trilogy (PS4)Activision, Platform","170,019","2,172,947",7
3795,"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure","151,892","9,460,827",96
3796,"Battlefield V (XOne)Electronic Arts, Shooter","149,200","1,547,325",6
3797,"Minecraft (NS)Mojang, Sandbox","125,185","1,888,081",28
3798,"Forza Horizon 4 (XOne)Microsoft Studios, Racing","121,485","1,839,995",13
3799,"NBA 2K19 (PS4)Take-Two Interactive, Sports","120,794","2,627,728",16
3800,"Grand Theft Auto V (PS4)Take-Two Interactive, Action","111,760","19,392,497",215
3801,"God of War (PS4) (PS4)Sony Interactive Entertainment, Action","103,134","6,153,527",37
3802,"Splatoon 2 (NS)Nintendo, Shooter","96,554","7,037,733",76
3803,"FIFA 19 (XOne)Electronic Arts, Sports","94,049","2,223,288",14
